DEPARTAMENTO; TERNERAS < 1 AÑO; HEMBRAS 1 - 2 AÑOS; HEMBRAS 2 - 3 AÑOS; HEMBRAS > 3 AÑOS; TOTAL BOVINOS
AMAZONAS;81;82;111;323;597
ANTIOQUIA;362.889;401.462;406.081;1.038.990;2.209.422
ARAUCA;155.091;127.398;131.392;443.391;857.272
ATLANTICO;28.720;24.223;28.849;92.279;174.071
BOGOTA D.C.;5.096;4.612;3.659;11.954;25.321
BOLIVAR;147.446;133.883;175.857;482.195;939.381
BOYACA;126.104;136.765;127.951;443.765;834.585
CALDAS;39.767;59.751;58.785;107.373;265.676
CAQUETA;266.510;246.624;261.298;741.371;1.515.803
CASANARE;251.168;214.719;232.061;846.199;1.544.147
CAUCA;30.965;33.127;31.837;92.495;188.424
CESAR;189.284;191.658;200.945;569.788;1.151.675
CHOCO;17.621;21.772;16.975;58.673;115.041
CORDOBA;289.005;314.609;309.385;768.744;1.681.743
CUNDINAMARCA;166.177;170.490;174.226;524.760;1.035.653
GUAINIA;572;395;440;1.610;3.017
GUAVIARE;73.028;66.439;58.863;191.021;389.351
HUILA;52.073;54.478;58.080;155.694;320.325
LA GUAJIRA;44.076;36.783;41.253;117.969;240.081
MAGDALENA;189.735;160.631;169.794;597.466;1.117.626
META;256.234;247.574;249.003;782.942;1.535.753
NARIÑO;51.266;51.040;54.572;174.156;331.034
NORTE DE SANTANDER;48.918;46.614;50.860;139.756;286.148
PUTUMAYO;34.230;32.286;36.557;101.402;204.475
QUINDIO;8.873;11.128;10.999;21.230;52.230
RISARALDA;10.460;20.376;19.009;29.019;78.864
SAN ANDRES Y PROVIDENCIA;188;42;39;130;399
SANTANDER;155.123;173.839;180.309;471.630;980.901
SUCRE;118.197;111.125;125.333;396.377;751.032
TOLIMA;76.973;79.438;82.680;284.750;523.841
VALLE DEL CAUCA;47.432;68.401;63.907;135.685;315.425
VAUPES;133;122;124;501;880
VICHADA;30.172;25.418;28.159;108.954;192.703
