AÑO;MES;ANTIOQUIA;BOGOTÁ;BOYACÁ;CALDAS;CAUCA;CUNDINAMARCA;NARIÑO;QUINDÍO;RISARALDA;VALLE DEL CAUCA;ARAUCA;ATLÁNTICO;BOLÍVAR;CAQUETÁ;CASANARE;CESAR;CÓRDOBA;GUAVIARE;HUILA;LA GUAJIRA;MAGDALENA;META;NORTE DE SANTANDER;PUTUMAYO;SANTANDER;SUCRE;TOLIMA;NACIONAL
2008;enero;$ 865;nd;$ 774;$ 852;$ 866;$ 833;$ 702;$ 934;$ 842;$ 813;$ 632;$ 843;$ 811;$ 728;$ 580;$ 800;$ 744;nd;$ 711;$ 837;$ 826;$ 609;$ 749;nd;$ 701;$ 724;$ 736;$ 819
2008;febrero;$ 878;nd;$ 797;$ 869;$ 915;$ 871;$ 728;$ 943;$ 881;$ 815;$ 614;$ 786;$ 819;$ 673;$ 551;$ 841;$ 768;nd;$ 704;$ 850;$ 825;$ 599;$ 793;nd;$ 733;$ 811;$ 761;$ 847
2008;marzo;$ 846;nd;$ 818;$ 840;$ 878;$ 885;$ 747;$ 952;$ 784;$ 813;$ 615;$ 800;$ 826;$ 745;$ 568;$ 837;$ 794;nd;$ 735;$ 815;$ 822;$ 638;$ 752;nd;$ 752;$ 795;$ 760;$ 840
2008;abril;$ 883;nd;$ 818;$ 863;$ 892;$ 879;$ 742;$ 971;$ 846;$ 847;$ 620;$ 779;$ 824;$ 744;$ 568;$ 840;$ 773;nd;$ 652;$ 850;$ 824;$ 665;$ 807;nd;$ 778;$ 782;$ 695;$ 850
2008;mayo;$ 880;nd;$ 815;$ 856;$ 897;$ 877;$ 745;$ 988;$ 860;$ 863;$ 623;$ 807;$ 834;$ 748;$ 573;$ 800;$ 766;nd;$ 725;$ 812;$ 820;$ 677;$ 814;nd;$ 769;$ 775;$ 809;$ 847
2008;junio;$ 877;nd;$ 814;$ 869;$ 895;$ 869;$ 732;$ 937;$ 860;$ 843;$ 624;$ 871;$ 792;$ 754;$ 556;$ 799;$ 759;nd;$ 710;$ 770;$ 807;$ 675;$ 817;nd;$ 766;$ 788;$ 809;$ 840
2008;julio;$ 873;nd;$ 798;$ 863;$ 895;$ 861;$ 730;$ 921;$ 884;$ 851;$ 619;$ 770;$ 756;$ 717;$ 547;$ 753;$ 753;nd;$ 774;$ 736;$ 738;$ 664;$ 819;nd;$ 768;$ 667;$ 788;$ 821
2008;agosto;$ 882;nd;$ 768;$ 847;$ 892;$ 862;$ 722;$ 923;$ 887;$ 806;$ 652;$ 791;$ 791;$ 719;$ 550;$ 739;$ 773;nd;$ 773;$ 720;$ 733;$ 690;$ 827;nd;$ 754;$ 719;$ 799;$ 826
2008;septiembre;$ 880;nd;$ 798;$ 874;$ 873;$ 857;$ 724;$ 920;$ 884;$ 837;$ 650;$ 784;$ 753;$ 712;$ 559;$ 736;$ 780;nd;$ 761;$ 700;$ 736;$ 694;$ 799;nd;$ 721;$ 744;$ 751;$ 822
2008;octubre;$ 868;nd;$ 797;$ 868;$ 869;$ 850;$ 730;$ 925;$ 884;$ 839;$ 648;$ 799;$ 762;$ 723;$ 546;$ 744;$ 797;nd;$ 767;$ 700;$ 739;$ 703;$ 826;nd;$ 747;$ 754;$ 828;$ 825
2008;noviembre;$ 869;nd;$ 793;$ 875;$ 877;$ 855;$ 738;$ 924;$ 894;$ 839;$ 683;$ 801;$ 754;$ 724;$ 550;$ 739;$ 792;nd;$ 747;$ 700;$ 739;$ 709;$ 806;nd;$ 740;$ 773;$ 801;$ 823
2008;diciembre;$ 864;nd;$ 792;$ 874;$ 878;$ 854;$ 736;$ 925;$ 885;$ 838;$ 638;$ 803;$ 783;$ 723;$ 575;$ 762;$ 787;nd;$ 764;$ 700;$ 736;$ 703;$ 817;nd;$ 747;$ 792;$ 802;$ 825
2009;enero;$ 846;nd;$ 784;$ 871;$ 883;$ 849;$ 713;$ 902;$ 897;$ 834;$ 637;$ 772;$ 783;$ 726;$ 600;$ 802;$ 779;nd;$ 762;$ 712;$ 738;$ 694;$ 819;nd;$ 746;$ 815;$ 811;$ 822
