Volumen (lt) Total Nacional de Leche Captada por la Industria.   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ene 2007 - Ago 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabla 1;;;;;;Tabla 2;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Periodo;Volumen (lt);Variación Mensual;No. de Empresas con Reporte;;11;Año;Vol. (lt)  Anual;Vol. (lt) Mensual;Vol. (lt) Diario;Periodo;Var. % Anual;Var. % 1º Trim;Var. % 2º Trim;Var. % 3º Trim;Var. % 4º Trim;;;;;;;;;;;;;;;;;;
;dic-23; 282.620.761 ;0,01; 508 ;;;2018; 3.416.071.959 ; 284.672.663 ; 9.359.101 ;2018 Vs 2017;1,05%;2,39%;2,12%;1,23%;-1,57%;;;;;;;;;;;;;;;;;;
;ene-24; 272.858.192 ;-0,03; 521 ;;;2019; 3.170.584.175 ; 264.215.348 ; 8.686.532 ;2019 Vs 2018;-7,19%;-9,31%;-14,20%;-5,44%;0,73%;;;;;;;;;;;;;;;;;;
;feb-24; 260.185.850 ;-0,05; 522 ;;;2020; 3.347.479.439 ; 278.956.620 ; 9.146.119 ;2020 Vs 2019;5,58%;3,61%;11,62%;6,66%;0,75%;;;;;;;;;;;;;;;;;;
;mar-24; 277.635.753 ;0,07; 521 ;;;2021; 3.112.553.990 ; 259.379.499 ; 8.527.545 ;2021 Vs 2020;-7,02%;1,92%;-10,65%;-12,22%;-6,30%;;;;;;;;;;;;;;;;;;
;abr-24; 272.583.632 ;-0,02; 520 ;;;2022; 3.369.695.731 ; 280.807.978 ; 9.232.043 ;2022 Vs 2021;8,26%;0,03%;17,06%;11,84%;4,67%;;;;;;;;;;;;;;;;;;
;may-24; 287.676.868 ;0,06; 545 ;;;2023; 3.326.948.967 ; 277.245.747 ; 9.114.929 ;2023 Vs 2022;-1,27%;-6,46%;-4,76%;1,51%;4,73%;;;;;;;;;;;;;;;;;;
;jun-24; 285.802.672 ;-0,01; 503 ;;;2024; 3.358.238.932 ; 279.853.244 ; 9.175.516 ;2024 Vs 2023;0,94%;7,50%;0,26%;-3,31%;0,18%;;;;;;;;;;;;;;;;;;
;jul-24; 286.807.807 ;0,00; 561 ;;;2025; 2.314.716.330 ; 289.339.541 ; 9.525.582 ;2025 Vs 2024;19,10%;4,95%;4,15%;1,35%;0,00%;;;;;;;;;;;;;;;;;;
